Frame,CoM_X,CoM_Y,L_Elbow,R_Elbow,Velocity
1,399.3468,1443.2229,43.81295,84.41142,0
2,398.78116,1441.8257,36.6141,81.670235,10.049792
3,397.86536,1440.7589,41.68969,79.87858,9.373169
4,396.51312,1440.1543,63.140385,80.172455,9.875484
5,394.54047,1440.6079,79.80747,85.245514,13.494307
6,392.44095,1440.5411,93.19684,85.260895,14.003969
7,390.07977,1440.3392,79.97953,80.75821,15.798718
8,387.23032,1440.505,116.35698,100.14621,19.028484
9,383.98038,1440.6082,119.30525,106.27194,21.677244
10,380.25775,1440.9916,108.03557,82.38205,24.94895
11,376.30966,1439.9867,98.32251,40.092346,27.159945
12,371.90253,1439.2009,70.8173,36.221497,29.844427
13,366.3058,1439.9595,143.60388,52.15088,37.65289
14,361.61774,1439.5497,157.19305,15.524446,31.372929
15,354.93066,1439.5265,143.85594,24.978575,44.580776
16,348.36285,1439.2109,89.53773,32.853607,43.83596
17,342.47742,1438.9832,26.9962,45.40045,39.26566
18,334.9732,1438.9764,152.88144,43.280243,50.028217
19,326.36975,1443.4548,141.49622,40.3237,64.66153
20,316.41837,1448.1705,132.52852,47.752045,73.414246
21,306.49417,1452.305,140.70111,35.47647,71.673325
22,295.10043,1457.2147,151.47804,9.106199,82.710075
23,282.90698,1462.3855,172.34929,3.0606487,88.29644
24,271.09943,1466.4718,76.3908,7.9028153,83.29767
25,259.4048,1469.251,147.23564,22.50304,80.13551
26,247.86809,1471.5778,109.38462,2.2587025,78.45992
27,236.0787,1474.1304,173.94568,32.63609,80.4169
28,224.45117,1475.1177,2.6939971,27.673397,77.795784
29,214.47513,1474.5563,178.03,31.203379,66.61226
30,204.79723,1473.196,170.00009,87.98682,65.15367
31,193.87173,1473.9247,103.75874,38.404266,72.99846
32,182.75752,1473.9539,112.28393,56.3047,74.09507
33,172.03775,1473.8114,75.13605,36.017143,71.47154
34,161.8024,1473.3754,62.651466,56.253304,68.29763
35,152.9038,1471.7156,96.80991,49.117958,60.34731
36,143.694,1469.87,65.88105,29.344406,62.619316
37,134.67467,1468.1677,64.043335,16.958601,61.19057
38,126.26451,1467.1434,65.55327,56.48043,56.482082
39,117.81976,1466.785,119.07088,142.74327,56.349037
40,109.9525,1466.8317,145.85585,145.93642,52.44939
41,102.4578,1466.7521,74.13107,29.65377,49.967464
42,95.40753,1466.9122,96.2348,26.628803,47.013966
43,88.41817,1468.2834,103.079994,60.53189,47.48383
44,81.29649,1468.9213,96.93278,60.67758,47.66779
45,74.50984,1469.6797,106.60395,62.042786,45.525955
46,69.29079,1468.5222,55.287827,37.502327,35.639194
47,63.90624,1467.7985,101.16218,70.19087,36.219803
48,59.23655,1467.5321,92.236496,31.796886,31.181921
49,55.41589,1466.973,168.65152,136.19371,25.74239
50,51.976604,1467.7921,163.05052,48.229153,23.56967
51,49.35615,1468.518,177.10266,17.946295,18.127438
52,47.986263,1465.1958,168.1524,38.15213,23.956503
53,46.421375,1463.5455,163.72345,55.275566,15.162222
54,44.6467,1459.712,30.892109,51.047157,28.162802
55,43.377678,1457.7378,18.509645,48.219208,15.646696
56,42.5428,1458.5314,140.76692,28.251915,7.678763
57,42.065994,1455.0317,150.31009,47.723133,23.546478
58,39.831238,1454.3712,140.37529,87.65947,15.535441
59,35.66492,1462.8275,169.01779,168.85736,62.84608
60,31.502747,1480.308,159.99667,153.47931,119.794044
61,29.233574,1476.0083,66.12336,75.35125,32.411755
62,27.94885,1475.5343,174.41922,73.39236,9.129157
63,27.197796,1476.6837,175.07127,75.808975,9.152946
64,26.444796,1478.5424,175.3268,78.19792,13.369377
65,26.726862,1481.5603,174.51056,77.93379,20.207436
66,26.897831,1483.441,155.07747,73.49253,12.589301
